sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0207a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0208a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0209a	NA	FALSE	NA	TRUE	myrmecophilus	male	indet.	Murviel-lès-Montpellier	Herault	43.604	3.736	140	13	6	2012	collection
19.0210a	NA	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Murviel-lès-Montpellier	Herault	43.604	3.736	140	13	6	2012	collection
19.0211a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Martigues	Bouches-du-Rhones	43.4204	5.0061	35	7	5	2013	collection
19.0212a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Martigues	Bouches-du-Rhones	43.4204	5.0061	35	7	5	2013	collection
19.0213a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	indet.	Boujan-sur-Libron	Herault	43.370949	3.25773	50	6	6	2013	collection
19.0214a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	Lasius niger	Boujan-sur-Libron	Herault	43.370949	3.25773	50	6	6	2013	collection
19.0215a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Nimes	Gard	43.83	4.36	-	13	5	2013	collection
19.0216a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Septèmes-les-Vallons	Bouches-du-Rhones	43.39	5.36	-	16	5	2013	collection
19.0217a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Murviel-lès-Montpellier	Herault	43.604	3.737	-	18	5	2012	collection
19.0218a	NA	FALSE	NA	FILTERED_OUT	NA	larve indet	indet.	Murviel-lès-Montpellier	Herault	43.604	3.737	-	18	5	2012	collection
19.0219a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Murviel-lès-Montpellier	Herault	43.604	3.737	-	18	5	2012	collection
19.0220a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Murviel-lès-Montpellier	Herault	43.604	3.737	-	18	5	2012	collection
19.0221a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Murviel-lès-Montpellier	Herault	43.604	3.737	-	18	5	2012	collection
19.0222a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Vendargues	Herault	43.65	3.97	-	9	5	2012	collection
19.0223a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Vendargues	Herault	43.65	3.97	-	9	5	2012	collection
19.0224a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Vendargues	Herault	43.65	3.97	-	9	5	2012	collection
19.0225a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Formica fusca	Prades-Le-Lez	Herault	43.69	3.86	-	23	5	2012	collection
19.0226a	NA	TRUE	unknown	TRUE	unknown	larve indet	indet.	Lavalette	Haute-Garonne	43.18	2.26	200	23	4	2012	collection
19.0227a	NA	TRUE	unknown	TRUE	unknown	larve indet	indet.	Lavalette	Haute-Garonne	43.18	2.26	200	23	4	2012	collection
19.0228a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	indet.	Peypin	Bouches-du-Rhones	43.388637	5.554533	335	4	7	2016	collection
19.0229a	M. myrmecophilus	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Peypin	Bouches-du-Rhones	43.388637	5.554533	335	4	7	2016	collection
19.0230a	NA	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Venelles	Bouches-du-Rhones	43.35	5.28	-	19	5	2017	collection
19.0231a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	indet.	Venelles	Bouches-du-Rhones	43.35	5.28	-	19	5	2017	collection
19.0232a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Forcalquier	Alpes-de-Haute-Provence	43.953661	5.593143	500	9	6	2017	collection
19.0233a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Forcalquier	Alpes-de-Haute-Provence	43.953661	5.593143	500	9	6	2017	collection
19.0234a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Saint-Alexandre	Gard	44.214	4.64	150	25	9	2017	collection
19.0235a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Saint-Alexandre	Gard	44.214	4.64	150	25	9	2017	collection
19.0236a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	indet.	Orange	Vaucluse	44.122	4.8107	50	15	5	2017	collection
19.0237a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	indet.	Orange	Vaucluse	44.122	4.8107	50	15	5	2017	collection
19.0238a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Orange	Vaucluse	44.122	4.8107	50	15	5	2017	collection
19.0239a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	Pheidole pallidula	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0240a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0241a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
